,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
125,YUUDACHl,she/her ⋅ 24┊i7 • FGO • FE • JJK • DGS • HQ • TWST • CSM • AITSF/AINI • OMORI • MP100┊icon by @yura_inaho header by @rureces┊perpetually tired & busy,RT heavy,1157,111,140869,5138,"Candace Owens got Kanye banned from Twitter, Instagram and dropped from all this business endeavors using her talking points while convincing him to buy Parler that’s owned by her husband.",[],2019-01-24 02:26:40+00:00,1088261773709463554,1585275268830216192
126,Daniel_Spenrath,"Husband. Father of 3 girls and 5 boys. Data Scientist.
Water and 🌞 lover. @tamu Aggie",Austin,3640,616,12917,0,@Molson_Hart What if 70% of black folks respect Kanye and they dream of becoming like him. This seems bad for Adidas.,[],2018-02-18 22:19:22+00:00,965350050858782720,1585275267563536387
127,SatiristX,#CancelStudentDebt #FightFor25 #PoliticalRenaissance #WorkersUnite #GreenEnter #UBI #M4A #NoHR1 Say No to Monopoly by Duopoly,,3548,2578,261522,1889,"This Kanye ""outrage"" has to be one of the biggest examples of hypocrisy I've ever seen. The media is trying to make Kanye the face of antisemitism while the United States is literally giving billions of dollars to an army full of Nazis. Cancel Kanye but fund Nazis?? Crazy times..",[],2017-11-15 19:35:48+00:00,930882041566068742,1585275266821136385
128,silentkillerszn,,,363,213,13341,1511,Kanye using antisemitism to get out of all those bullshit contracts he ain’t read is top tier mastermindery…,[],2018-02-22 07:59:39+00:00,966583248326283266,1585275266787483648
129,esq_jake,"Advocate for freedom & less government.
Serving our community with compassion & dedication...",Texas,438,173,9067,15,"If Kanye had said ""the whites"" instead of ""the jews"" then leftists would be rolling out a red carpet for him, massaging his feet, asking him what his inspirations are, and why he's so brave.

Racism is completely okay for leftists as long as it's against the right people.",[],2019-07-04 15:47:05+00:00,1146807653336854528,1585275266699608065
130,chsmonce,進撃の巨人 THANK YOU ISAYAMA,ǝʌɐ uooɯʎǝuoɥ,169,203,41458,812,"Like, Kanye did a whole interview with Piers Morgan talking about how he relates to “straight white man”. What is not clicking for y’all?? He not only wants to be in a position of power. But he also wants to be a white man.",[],2017-08-02 01:29:35+00:00,892557960119017472,1585275264954687494
131,AmanSar46428316,"STALKING #EMINEM and #MCSTAN
           
                  MY  IDOL...

UNDER 17 CRICKETER 🏏🏏",,328,274,4045,2,"I USES TO LISTEN KANYE ... BUT KANYE TOH CH*TIYA NIKLAA !!

TRP SUPREMACY STAN",[],2021-03-13 05:02:16+00:00,1370600976911011840,1585275264480575491
132,Seanydrift,Father. Art. Music. Sports. I don’t tolerate racist idiots. Hence my fifth account.,"Jackson, WY",77,9,107,0,@Nine2Noon Kanye has been an absolute clown for years. His shoes are ugly af just like his shitty personality.,[],2022-10-18 14:02:35+00:00,1582371495795646466,1585275264279318533
133,s54teve,Just an old TX guy (True Blue Dem) who sees the truth. All the gods throughout history were created in the minds of humans. Organized religion is criminal.,Texas,208,638,29656,373,"Do you feel any pity for racist Trumper Kanye West now that he got dropped by so many business partners that he’s no longer a billionaire?

YES or NO?",[],2020-10-21 14:16:53+00:00,1318919055655526402,1585275263675416577
134,Yasuk_br,"On est tous morts depuis longtemps, te fies pas aux dates sur les tombes.",Les ténèbres,64,167,18175,812,Les juifs quand faut boycotter kanye west ya du monde mais pour defendre sur mbappe ya plus personne.,[],2012-03-27 19:41:53+00:00,538430510,1585275262853386242
