,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,BalterKathryn,"mom, former small business owner, nurse, Democrat all day! and grandma to 2 beautiful boys","Ventura, CA",972,334,5144,1514,"BREAKING: In another blow to new Twitter owner Elon Musk, General Motors announces that it is pausing ALL advertising on Twitter over the “new ownership” and concerns over “the direction” that Musk wants to take it by inviting banned accounts back. RT TO THANK GENERAL MOTORS!",[],2018-06-25 00:24:19+00:00,1011042366990372864,1586151888554061824
1,WNiggems,,,714,254,15290,1822,"This just in: We have our first Woke corporation that can’t stand the idea of Americans having free speech on Twitter.

GM has temporarily suspended ads on Twitter after the Elon Musk takeover, as reported by CNBC.

So it begins.",[],2019-06-30 19:53:29+00:00,1145420109974036480,1586151887937490945
2,sww1235,Someone Somewhere interested in things and stuff. import disclaimer.h,Denver CO,1016,509,204292,27,"So, furries: are we decamping to elsewhere, or are we making Elon Musk regret ever having even thought about buying Twitter? 😛",[],2008-09-29 22:48:30+00:00,16519923,1586151887912374272
3,TheDojoYo,"Veteran, teacher, coach, writer, and social activist just trying to get the word out.","Middle of the Map, USA",682,165,96198,1514,"BREAKING: In another blow to new Twitter owner Elon Musk, General Motors announces that it is pausing ALL advertising on Twitter over the “new ownership” and concerns over “the direction” that Musk wants to take it by inviting banned accounts back. RT TO THANK GENERAL MOTORS!",[],2021-05-12 14:22:54+00:00,1392485395397480451,1586151887832637441
4,EnriqueRocuant,"Antifascista, ateo, librepensador, de izquierda, la democracia y los derechos humanos  representan principios y valores intransables. Pertenezco al 38% !!",Ciudadano del (viejo) mundo,2673,1213,44960,11,"El primer anuncio que hizo Elon Musk cuando toma el control de TWITTER , es que eliminará los BOTS.

PD : tenemos posibilidades en otro Plebiscito 🎈",[],2020-08-22 16:45:51+00:00,1297213322257989633,1586151887627489280
